"id_khach_san","ten_khach_san","tien_nghi","khoan_cach_toi_bien","gan_bien","gia_phong_thap_nhat"
a96b56d8-a0bd-4891-948e-66f019d0626d,Sun City Hotel Da Nang,Hồ bơi vô cực,3047,false,650000.00
a96b56d8-a0bd-4891-948e-66f019d0626d,Sun City Hotel Da Nang,Ghế/ghế dài tắm nắng,3047,false,650000.00
a96b56d8-a0bd-4891-948e-66f019d0626d,Sun City Hotel Da Nang,Có xuất hóa đơn,3047,false,650000.00
"9d036815-21cd-428b-bd17-b9affe7850c5",The BHA Apartment,Lễ tân 24 giờ,662,true,850000.00
"9d036815-21cd-428b-bd17-b9affe7850c5",The BHA Apartment,Ghế/ghế dài tắm nắng,662,true,850000.00
"9d036815-21cd-428b-bd17-b9affe7850c5",The BHA Apartment,Hệ thống CCTV bên ngoài chỗ nghỉ,662,true,850000.00
"9d036815-21cd-428b-bd17-b9affe7850c5",The BHA Apartment,Quầy bar,662,true,850000.00
"9d036815-21cd-428b-bd17-b9affe7850c5",The BHA Apartment,Bãi biển,662,true,850000.00
adaedf13-14d4-4fa7-b872-5315ac8a5fb9,The Blossom Resort Island Da Nang - Onsen Included,Trung tâm Spa & chăm sóc sức khỏe,2398,false,2200000.00
adaedf13-14d4-4fa7-b872-5315ac8a5fb9,The Blossom Resort Island Da Nang - Onsen Included,Quầy bar hồ bơi,2398,false,2200000.00
adaedf13-14d4-4fa7-b872-5315ac8a5fb9,The Blossom Resort Island Da Nang - Onsen Included,Phòng tắm nắng,2398,false,2200000.00
adaedf13-14d4-4fa7-b872-5315ac8a5fb9,The Blossom Resort Island Da Nang - Onsen Included,Phòng tắm chung,2398,false,2200000.00
adaedf13-14d4-4fa7-b872-5315ac8a5fb9,The Blossom Resort Island Da Nang - Onsen Included,Rượu vang/sâm panh,2398,false,2200000.00
d0d825bb-83e6-4085-94d4-a01eb9c9227d,THHomestay,Wi-Fi có ở các phòng khách sạn và miễn phí,1631,true,1550000.00
d0d825bb-83e6-4085-94d4-a01eb9c9227d,THHomestay,Quầy bar hồ bơi,1631,true,1550000.00
d0d825bb-83e6-4085-94d4-a01eb9c9227d,THHomestay,Hệ thống CCTV bên ngoài chỗ nghỉ,1631,true,1550000.00
d0d825bb-83e6-4085-94d4-a01eb9c9227d,THHomestay,Có xuất hóa đơn,1631,true,1550000.00
d0d825bb-83e6-4085-94d4-a01eb9c9227d,THHomestay,Quầy bar,1631,true,1550000.00
"1c4e11c9-b6b8-4a71-ab2f-e1c5049e219d",Thien Han Phat Hotel,Bình chữa cháy,4685,false,520000.00
"1c4e11c9-b6b8-4a71-ab2f-e1c5049e219d",Thien Han Phat Hotel,Giữ hành lí,4685,false,520000.00
"1c4e11c9-b6b8-4a71-ab2f-e1c5049e219d",Thien Han Phat Hotel,Dọn phòng hằng ngày,4685,false,520000.00
"1c4e11c9-b6b8-4a71-ab2f-e1c5049e219d",Thien Han Phat Hotel,Nhận/trả phòng riêng,4685,false,520000.00
"1c4e11c9-b6b8-4a71-ab2f-e1c5049e219d",Thien Han Phat Hotel,Giặt khô,4685,false,520000.00
